Name,n,m,c,var,s_cons,h_cons,peak,satus,time,type,preprocess_time,cal UB LB time
MERTENS,7,6,6,745,8,3126,164,optimal,0.029891490936279297,Binary,0.003920793533325195,3.5762786865234375e-05
MERTENS,7,2,18,1914,7,8029,54,optimal,0.12652015686035156,Binary,0.008934974670410156,4.0531158447265625e-05
MERTENS,7,5,7,850,8,3433,141,optimal,0.021990060806274414,Binary,0.0039708614349365234,3.6716461181640625e-05
MERTENS,7,5,8,962,8,4058,141,optimal,0.02803635597229004,Binary,0.0058214664459228516,2.6226043701171875e-05
MERTENS,7,3,10,1172,8,4368,99,optimal,0.026865243911743164,Binary,0.005522727966308594,2.6702880859375e-05
MERTENS,7,2,15,1602,7,6259,62,optimal,0.03911566734313965,Binary,0.007600069046020508,2.6226043701171875e-05
BOWMAN,8,5,20,2327,8,17835,146,optimal,0.08503317832946777,Binary,0.020577669143676758,2.8371810913085938e-05
JAESCHKE,9,8,6,868,8,5534,173,optimal,0.026610136032104492,Binary,0.005683183670043945,3.0994415283203125e-05
JAESCHKE,9,3,18,2200,7,13584,47,optimal,0.10406064987182617,Binary,0.016548633575439453,3.075599670410156e-05
JAESCHKE,9,6,8,1104,8,6531,104,optimal,0.02939581871032715,Binary,0.008260250091552734,2.6464462280273438e-05
JAESCHKE,9,4,10,1340,8,6960,91,optimal,0.03689384460449219,Binary,0.007959127426147461,2.9087066650390625e-05
JAESCHKE,9,3,18,2200,7,13584,47,optimal,0.10790705680847168,Binary,0.014994621276855469,2.8371810913085938e-05
JACKSON,11,8,7,1267,8,8918,166,optimal,0.04077601432800293,Binary,0.010045528411865234,2.765655517578125e-05
JACKSON,11,3,21,3211,7,21797,57,optimal,0.38074755668640137,Binary,0.024911880493164062,2.9087066650390625e-05
JACKSON,11,6,9,1573,8,10097,142,optimal,0.04455065727233887,Binary,0.011587142944335938,4.076957702636719e-05
JACKSON,11,5,10,1726,8,10379,121,optimal,0.04866313934326172,Binary,0.011430025100708008,3.0517578125e-05
JACKSON,11,4,13,2207,8,13105,90,optimal,0.10831880569458008,Binary,0.014864206314086914,2.8133392333984375e-05
