Name,n,m,c,Var,s_cons,h_cons,peak,Status,Time
MERTENS,7,6,6,762,8,2200,164,Optimal,0.05176258087158203
MERTENS,7,2,18,1984,7,5722,54,Optimal,0.030782461166381836
MERTENS,7,5,7,865,8,2357,141,Optimal,0.060752153396606445
MERTENS,7,5,8,983,8,2746,141,Optimal,0.018262863159179688
MERTENS,7,3,10,1108,7,2894,99,Optimal,0.020234107971191406
MERTENS,7,2,15,1651,7,4390,62,Optimal,0.02119159698486328
BOWMAN,8,5,20,2355,8,6827,146,Optimal,0.042125701904296875
JAESCHKE,9,8,6,890,8,2385,173,Optimal,0.061189889907836914
JAESCHKE,9,3,18,2299,7,7171,47,Optimal,0.05028080940246582
JAESCHKE,9,6,8,1128,8,2994,104,Optimal,0.025481700897216797
JAESCHKE,9,4,10,1289,7,3675,91,Optimal,0.022423744201660156
JAESCHKE,9,3,18,2299,7,7171,47,Optimal,0.05020856857299805
JACKSON,11,8,7,1308,8,4297,166,Optimal,0.023972511291503906
JACKSON,11,3,21,3363,7,12316,57,Optimal,0.15340685844421387
JACKSON,11,6,9,1621,8,5434,142,Optimal,0.026198387145996094
JACKSON,11,5,10,1778,8,5976,121,Optimal,0.03009200096130371
JACKSON,11,4,13,2095,7,7065,90,Optimal,0.06540036201477051
JACKSON,11,4,14,2455,8,8084,83,Optimal,0.08825016021728516
MANSOOR,11,4,48,9855,8,29976,111,Optimal,0.14011716842651367
MANSOOR,11,2,94,16600,7,59817,71,Optimal,0.34020280838012695
MANSOOR,11,3,62,10863,7,37097,99,Optimal,0.16544294357299805
MITCHELL,21,8,14,7363,8,20243,225,Optimal,0.22661519050598145
MITCHELL,21,3,39,17343,7,57002,84,Optimal,1.0075554847717285
MITCHELL,21,8,15,8537,9,23587,204,Optimal,0.39635801315307617
MITCHELL,21,5,21,10933,8,31077,160,Optimal,0.21155142784118652
MITCHELL,21,5,26,13551,8,43110,117,Optimal,3.2798397541046143
MITCHELL,21,3,35,15551,7,47370,101,Optimal,0.5533525943756104
ROSZIEG,25,10,14,9393,9,36589,242,Optimal,1.1151516437530518
ROSZIEG,25,4,32,19511,8,65372,118,Optimal,2.0952346324920654
ROSZIEG,25,6,25,15311,8,56607,135,Optimal,220.9919683933258
ROSZIEG,25,8,16,10619,9,34747,221,Optimal,0.27661561965942383
ROSZIEG,25,8,18,11103,8,43306,186,Optimal,36.85847759246826
ROSZIEG,25,6,21,12854,8,43252,163,Optimal,1.0433940887451172
HESKIA,28,8,138,99802,9,595215,229,Optimal,1075.3096294403076
HESKIA,28,3,342,192008,7,1062296,97,Optimal,660.1914284229279
HESKIA,28,5,205,135144,8,734764,156,Optimal,511.648010969162
HESKIA,28,5,216,142494,8,795979,148,Optimal,1777.1291279792786
HESKIA,28,4,256,169161,8,913640,127,Optimal,1187.1121814250946
HESKIA,28,4,324,214585,8,1183378,0,Time out,3602.224219560623
BUXEY,29,7,47,36258,8,153041,184,Optimal,8.713697671890259
BUXEY,29,8,41,31645,8,146532,194,Optimal,101.71928119659424
