Name,n,m,c,Var,s_cons,h_cons,peak,Status,Time
MERTENS,7,6,6,141,0,772,164,Optimal,0.0016345977783203125
MERTENS,7,2,18,334,0,1819,54,Optimal,0.0048542022705078125
MERTENS,7,5,7,146,0,697,141,Optimal,0.0014338493347167969
MERTENS,7,5,8,166,0,854,141,Optimal,0.0017540454864501953
MERTENS,7,3,10,178,0,711,99,Optimal,0.0025916099548339844
MERTENS,7,2,15,271,0,1132,62,Optimal,0.0032613277435302734
BOWMAN,8,5,20,2355,8,6827,146,Optimal,0.03549075126647949
JAESCHKE,9,8,6,200,0,730,173,Optimal,0.0014674663543701172
JAESCHKE,9,3,18,2111,6,6693,47,Optimal,0.04141116142272949
JAESCHKE,9,6,8,220,0,801,104,Optimal,0.0023539066314697266
JAESCHKE,9,4,10,246,0,1117,91,Optimal,0.0024132728576660156
JAESCHKE,9,3,18,2111,6,6693,47,Optimal,0.041463613510131836
JACKSON,11,8,7,281,0,1741,166,Optimal,0.0035567283630371094
JACKSON,11,3,21,3363,7,12316,57,Optimal,0.13856744766235352
JACKSON,11,6,9,310,0,2158,142,Optimal,0.0029120445251464844
JACKSON,11,5,10,325,0,2340,121,Optimal,0.00471186637878418
JACKSON,11,4,13,2095,7,7065,90,Optimal,0.05707526206970215
JACKSON,11,4,14,2256,7,7633,83,Optimal,0.07746601104736328
MANSOOR,11,4,48,1280,0,10311,111,Optimal,0.020174741744995117
MANSOOR,11,2,94,2754,0,26417,71,Optimal,0.04922294616699219
MANSOOR,11,3,62,1721,0,15057,99,Optimal,0.015376091003417969
MITCHELL,21,8,14,7363,8,20243,225,Optimal,0.17935490608215332
MITCHELL,21,3,39,17343,7,57002,84,Optimal,0.8448238372802734
MITCHELL,21,8,15,7889,8,22594,204,Optimal,0.3078007698059082
MITCHELL,21,5,21,10933,8,31077,160,Optimal,0.1834256649017334
MITCHELL,21,5,26,13551,8,43110,117,Optimal,2.84053635597229
MITCHELL,21,3,35,2075,0,16527,101,Optimal,0.09278225898742676
ROSZIEG,25,10,14,8732,8,35340,242,Optimal,0.8543627262115479
ROSZIEG,25,4,32,16532,7,60793,118,Optimal,1.4366769790649414
ROSZIEG,25,6,25,15311,8,56607,135,Optimal,195.97530436515808
ROSZIEG,25,8,16,9864,8,33320,221,Optimal,0.19216322898864746
