Name, n, m, c, nv, num_hard, num_soft, peak, total_time
MERTENS,7,6,6,1013,2470,9,164,0.0870673656463623
MERTENS,7,2,18,2488,6199,8,54,0.0838460922241211
MERTENS,7,5,7,1081,2547,9,141,0.056260108947753906
MERTENS,7,5,8,1283,3178,9,141,0.06027507781982422
MERTENS,7,3,10,1456,3464,9,99,0.06112861633300781
MERTENS,7,2,15,2070,5039,8,62,0.06708526611328125
BOWMAN,8,5,20,3054,7664,9,146,0.09373331069946289
JAESCHKE,9,8,6,985,2376,9,173,0.1124272346496582
JAESCHKE,9,3,18,2883,7694,8,47,0.10802030563354492
JAESCHKE,9,6,8,1329,3291,9,104,0.058954477310180664
JAESCHKE,9,4,10,1636,4046,9,91,0.06389546394348145
JAESCHKE,9,3,18,2883,7694,8,47,0.10863494873046875
JACKSON,11,8,7,1734,4793,9,166,0.07562947273254395
JACKSON,11,3,21,4455,13286,8,57,0.2950572967529297
JACKSON,11,6,9,2180,6066,9,142,0.07816743850708008
JACKSON,11,5,10,2357,6498,9,121,0.07838201522827148
JACKSON,11,4,13,3010,8248,9,90,0.12355518341064453
JACKSON,11,4,14,3250,9022,9,83,0.15735149383544922
MANSOOR,11,4,48,11859,32340,9,111,0.2457408905029297
MANSOOR,11,2,94,22294,66784,8,71,0.5139658451080322
MANSOOR,11,3,62,15377,42763,9,99,0.2765820026397705
MITCHELL,21,8,14,9169,23381,10,225,0.28290224075317383
MITCHELL,21,3,39,24512,63588,9,84,1.8642160892486572
MITCHELL,21,8,15,9917,26257,10,204,0.5405154228210449
MITCHELL,21,5,21,13216,33003,9,160,0.2720973491668701
MITCHELL,21,5,26,16427,43385,9,117,3.9952194690704346
MITCHELL,21,3,35,21971,55197,9,101,0.6584055423736572
ROSZIEG,25,10,14,11283,31888,10,242,0.8443090915679932
ROSZIEG,25,4,32,23506,59935,9,118,1.2542941570281982
ROSZIEG,25,6,25,19590,54996,10,135,866.2049157619476
ROSZIEG,25,8,16,12622,33448,10,221,0.32209157943725586
ROSZIEG,25,8,18,14348,41585,10,186,44.87245321273804
ROSZIEG,25,6,21,16248,41730,10,163,0.9911413192749023
HESKIA,28,8,138,118806,607727,10,229,1012.5013720989227
HESKIA,28,3,342,277533,1166591,9,UNSAT,3608.072740793228
HESKIA,28,5,205,166300,770739,9,156,701.5785779953003
HESKIA,28,5,216,175478,833425,9,UNSAT,3605.006158351898
HESKIA,28,4,256,207811,930841,9,UNSAT,3605.9807975292206
HESKIA,28,4,324,263508,1219532,9,UNSAT,3608.830312013626
BUXEY,29,7,47,44881,150893,10,184,1.863633632659912
BUXEY,29,8,41,39426,136019,10,194,75.9304723739624
BUXEY,29,11,33,32288,117976,10,238,2644.7365033626556
BUXEY,29,13,27,26730,102802,10,292,27.548038005828857
BUXEY,29,12,30,29506,112725,10,UNSAT,3600.6874346733093
BUXEY,29,7,54,51981,188167,10,UNSAT,3601.0818395614624
BUXEY,29,10,36,35284,134530,10,UNSAT,3600.7963840961456
SAWYER,30,14,25,28078,120118,10,282,3.160810947418213
SAWYER,30,7,47,48391,164170,9,158,2.2345285415649414
SAWYER,30,8,41,43413,150576,10,168,371.35575461387634
SAWYER,30,12,30,32923,136466,10,229,1248.2426326274872
SAWYER,30,13,27,29872,124421,10,268,3.3791749477386475
SAWYER,30,11,33,35969,142442,10,UNSAT,3600.764854669571
SAWYER,30,10,36,38950,151813,10,UNSAT,3600.798114299774
SAWYER,30,7,54,56271,216755,9,UNSAT,3601.0992588996887
SAWYER,30,5,75,77180,269298,9,UNSAT,3601.4608821868896
GUNTHER,35,9,54,66511,223296,10,262,3.098342180252075
GUNTHER,35,9,61,75463,281623,10,219,1322.364901304245
GUNTHER,35,14,41,51991,198990,11,342,2.2552037239074707
GUNTHER,35,12,44,55320,203702,11,319,2.451355218887329
GUNTHER,35,11,49,61430,235456,10,276,8.779052734375
GUNTHER,35,8,69,85074,306685,10,UNSAT,3601.8496322631836
GUNTHER,35,7,81,99558,352803,10,UNSAT,3602.1131041049957
WARNECKE,58,25,65,179195,1067689,11,UNSAT,3606.8741977214813
WARNECKE,58,31,54,152474,1020107,12,UNSAT,3606.5632660388947
WARNECKE,58,29,56,157275,1024882,12,UNSAT,3606.530212163925
WARNECKE,58,29,58,162647,1092122,12,UNSAT,3606.895455121994
WARNECKE,58,27,60,166042,1020446,12,UNSAT,3606.479449033737
WARNECKE,58,27,62,171835,1126794,12,UNSAT,3607.158492565155
WARNECKE,58,24,68,187130,1131011,11,UNSAT,3607.1888518333435
WARNECKE,58,23,71,193798,1151892,11,UNSAT,3607.413340806961
WARNECKE,58,22,74,201331,1162351,11,UNSAT,3607.4165468215942
WARNECKE,58,21,78,210805,1178260,11,UNSAT,3607.572978258133
WARNECKE,58,20,82,221193,1230170,11,UNSAT,3607.96519947052
WARNECKE,58,19,86,230647,1231924,11,UNSAT,3608.054661512375
WARNECKE,58,17,92,244572,1184149,11,UNSAT,3607.8077874183655
WARNECKE,58,17,97,260447,1400432,11,UNSAT,3608.9842672348022
WARNECKE,58,15,104,276794,1358367,11,UNSAT,3608.690103530884
WARNECKE,58,14,111,294075,1405772,11,UNSAT,3609.349441051483
LUTZ2,89,49,11,68071,369406,12,1155,15.0430326461792
LUTZ2,89,44,12,70818,347804,12,1050,38.68036866188049
LUTZ2,89,40,13,73607,336245,12,UNSAT,3602.782518386841
LUTZ2,89,37,14,77635,341642,12,UNSAT,3602.7821662425995
LUTZ2,89,34,15,81715,361048,12,UNSAT,3602.7758202552795
