Name,n,m,c,peak,var,cons,time
MERTENS,7,6,6,164,14,903,0.15219998359680176
MERTENS,7,2,18,54,14,975,0.21531033515930176
BOWMAN,8,5,20,146,16,3342,1.515949010848999
JAESCHKE,9,8,6,173,18,2073,0.4156961441040039
JAESCHKE,9,3,18,47,18,2497,0.5437662601470947
JACKSON,11,8,7,166,22,3654,0.5577304363250732
JACKSON,11,3,21,57,22,4259,2.4392523765563965
MANSOOR,11,4,48,111,22,12219,2.4937164783477783
MANSOOR,11,2,94,71,22,12263,15.715486526489258
MITCHELL,21,8,14,225,42,25881,58.14861226081848
MITCHELL,21,3,39,84,42,27541,231.5478813648224
ROSZIEG,25,10,14,242,50,45605,1133.2901675701141
ROSZIEG,25,4,32,118,50,42203,1007.9102954864502
BUXEY,29,14,25,316,58,149520,3616.28883767128
BUXEY,29,7,47,184,58,142892,476.4410729408264
SAWYER,30,14,25,282,60,159252,3616.7592096328735
SAWYER,30,7,47,158,60,151609,1918.7479124069214
GUNTHER,35,14,40,386,70,349999,3641.736804485321
GUNTHER,35,9,54,262,70,305693,3643.672621488571
