Name,n,m,c,peak,var,cons,time
MERTENS,7,6,6,164,14,903,0.02414870262145996
MERTENS,7,2,18,54,14,975,0.13984894752502441
MERTENS,7,5,7,141,14,892,0.020663738250732422
MERTENS,7,5,8,141,14,1028,0.02711963653564453
MERTENS,7,3,10,99,14,790,0.025129318237304688
MERTENS,7,2,15,62,14,810,0.05933189392089844
BOWMAN,8,5,20,146,16,3342,0.1429135799407959
JAESCHKE,9,8,6,173,18,2073,0.04294943809509277
JAESCHKE,9,3,18,47,18,2497,0.8417212963104248
JAESCHKE,9,6,8,104,18,2127,0.05656719207763672
JAESCHKE,9,4,10,91,18,1805,0.04958915710449219
JAESCHKE,9,3,18,47,18,2497,0.8176896572113037
JACKSON,11,8,7,166,22,3654,0.09243917465209961
JACKSON,11,3,21,57,22,4259,6.438915967941284
JACKSON,11,6,9,142,22,3566,0.10430312156677246
JACKSON,11,5,10,121,22,3318,0.11106729507446289
JACKSON,11,4,13,90,22,3480,0.9123613834381104
JACKSON,11,4,14,83,22,3753,1.4488036632537842
MANSOOR,11,4,48,111,22,12219,0.9791510105133057
MANSOOR,11,2,94,71,22,12263,4.619554042816162
MANSOOR,11,3,62,99,22,11968,0.7806968688964844
MITCHELL,21,8,14,225,42,25881,3.4811174869537354
MITCHELL,21,3,39,84,42,27541,129.39583492279053
MITCHELL,21,8,15,204,42,27778,6.619632005691528
MITCHELL,21,5,21,160,42,24499,1.4971747398376465
MITCHELL,21,5,26,117,42,30429,985.3148880004883
MITCHELL,21,3,35,101,42,24693,7.226351976394653
ROSZIEG,25,10,14,242,50,45605,36.185526609420776
ROSZIEG,25,4,32,118,50,42203,104.43951654434204
ROSZIEG,25,6,25,Timeout,50,49312,3600.759372472763
ROSZIEG,25,8,16,221,50,41811,7.14351487159729
ROSZIEG,25,8,18,Timeout,50,47125,3600.714703321457
ROSZIEG,25,6,21,163,50,41340,62.78332829475403
HESKIA,28,8,138,Timeout,56,446547,3618.106538772583
HESKIA,28,3,342,Timeout,56,422985,3617.2751479148865
HESKIA,28,5,205,Timeout,56,418927,3617.8161368370056
HESKIA,28,5,216,Timeout,56,441873,3624.117843389511
HESKIA,28,4,256,Timeout,56,420313,3618.1104044914246
HESKIA,28,4,324,Timeout,56,533805,3625.483410835266
BUXEY,29,7,47,184,58,142892,253.8801028728485
BUXEY,29,8,41,Timeout,58,142068,3603.128740787506
BUXEY,29,11,33,Timeout,58,156402,3603.5786604881287
BUXEY,29,13,27,292,58,150340,258.85659551620483
BUXEY,29,12,30,Timeout,58,154697,3603.090112924576
BUXEY,29,7,54,Timeout,58,164557,3603.3516342639923
BUXEY,29,10,36,Timeout,58,155455,3603.6453573703766
SAWYER,30,14,25,282,60,159252,60.17755198478699
SAWYER,30,7,47,158,60,151609,288.878910779953
SAWYER,30,8,41,Timeout,60,150830,3603.1526329517365
SAWYER,30,12,30,Timeout,60,164539,3603.279608488083
SAWYER,30,13,27,268,60,160027,75.79017210006714
SAWYER,30,11,33,Timeout,60,166249,3603.2991077899933
SAWYER,30,10,36,Timeout,60,165157,3603.900629758835
SAWYER,30,7,54,Timeout,60,174499,3604.1774084568024
SAWYER,30,5,75,Timeout,60,173731,3603.604924440384
GUNTHER,35,9,54,262,70,305693,306.38560461997986
GUNTHER,35,9,61,Timeout,70,346020,3607.764152288437
GUNTHER,35,14,41,342,70,358960,65.0780234336853
GUNTHER,35,12,44,319,70,330739,70.4122576713562
GUNTHER,35,11,49,276,70,338392,2461.9039402008057
GUNTHER,35,8,69,Timeout,70,348556,3607.487514734268
GUNTHER,35,7,81,Timeout,70,358776,3607.87038230896
WARNECKE,58,25,65,Timeout,116,2753382,3698.905259370804
WARNECKE,58,31,54,Timeout,116,2826596,3700.348581790924
WARNECKE,58,29,56,Timeout,116,2744182,3693.5675671100616
WARNECKE,58,29,58,Timeout,116,2844118,3693.397442817688
WARNECKE,58,27,60,Timeout,116,2741028,3695.3598685264587
WARNECKE,58,27,62,Timeout,116,2834072,3697.055846452713
WARNECKE,58,24,68,Timeout,116,2767313,3708.779893398285
WARNECKE,58,23,71,Timeout,116,2770906,3701.372920513153
WARNECKE,58,22,74,Timeout,116,2764161,3691.9215412139893
WARNECKE,58,21,78,Timeout,116,2783262,3696.6683139801025
WARNECKE,58,20,82,Timeout,116,2788579,3696.142944097519
WARNECKE,58,19,86,Timeout,116,2780112,3702.1013526916504
WARNECKE,58,17,92,Timeout,116,2663242,3690.298786878586
WARNECKE,58,17,97,Timeout,116,2809702,3694.5396790504456
WARNECKE,58,15,104,Timeout,116,2660096,3698.1918473243713
WARNECKE,58,14,111,Timeout,116,2651632,3683.4040389060974
LUTZ2,89,49,11,Timeout,178,2154769,3636.425653219223
LUTZ2,89,44,12,Timeout,178,2112411,3633.3274250030518
LUTZ2,89,40,13,Timeout,178,2081752,3632.54807472229
LUTZ2,89,37,14,Timeout,178,2074894,3634.492269515991
LUTZ2,89,34,15,Timeout,178,2043832,3632.134290456772
LUTZ2,89,31,16,Timeout,178,1988566,3630.946543455124
LUTZ2,89,29,17,Timeout,178,1977271,3631.3661799430847
LUTZ2,89,28,18,Timeout,178,2022049,3632.943937778473
LUTZ2,89,26,19,Timeout,178,1982516,3630.995927810669
LUTZ2,89,25,20,Timeout,178,2007124,3632.4306256771088
LUTZ2,89,24,21,Timeout,178,2023664,3632.058179616928
